,Timestamp,Unnamed: 1,Source,Bt-med,Bt-min,Bt-max,Bx-med,Bx-min,Bx-max,By-med,By-min,By-max,Bz-med,Bz-min,Bz-max,Phi-mean,Phi-min,Phi-max,Theta-med,Theta-min,Theta-max,Dens-med,Dens-min,Dens-max,Speed-med,Speed-min,Speed-max,Temp-med,Temp-min,Temp-max
0,2023-05-02,12:00:00,1,4.77,4.5,5.24,4.17,1.69,4.69,0.82,-3.11,3.89,0.87,-2.78,4.34,13.31,0.59,358.83,10.57,-36.2,59.11,2.96,1.68,9.46,496.8,489.1,518.1,126997,108523,427537
1,2023-05-02,18:00:00,1,5.23,4.86,5.87,3.84,2.39,5.07,3.32,1.09,4.36,0.73,-1.45,2.85,40.69,12.74,61.29,7.63,-16.4,31.09,6.34,4.44,7.34,488.5,466.5,499.6,213446,160024,233329
2,2023-05-03,00:00:00,1,5.33,4.78,5.99,3.0,1.53,4.34,3.96,2.43,5.05,1.64,0.48,2.71,53.13,29.18,70.38,17.49,4.72,31.34,6.53,5.37,7.47,480.3,470.7,493.6,201878,173640,219808
3,2023-05-03,06:00:00,1,5.31,4.41,5.96,4.23,3.21,5.21,2.49,-1.95,4.05,1.42,0.12,2.93,24.98,5.77,356.61,15.64,1.29,32.2,4.75,3.59,8.57,467.9,444.8,489.6,198140,137231,456013
4,2023-05-03,12:00:00,1,5.36,4.71,5.6,4.09,2.95,4.88,-3.41,-4.37,-2.2,0.34,-1.46,1.4,319.82,304.63,335.56,3.62,-16.16,14.93,5.88,3.49,8.24,486.2,460.5,508.9,316870,156707,453410
5,2023-05-03,18:00:00,1,4.61,3.95,5.61,2.65,1.09,4.6,-3.2,-4.14,-1.74,-1.09,-2.53,1.72,311.97,284.91,336.04,-13.11,-35.99,21.77,7.51,3.99,9.48,459.2,439.4,480.7,147836,48959,444155
6,2023-05-04,00:00:00,1,4.3,3.87,4.66,3.07,2.36,3.62,-2.54,-3.09,-2.1,-1.73,-2.13,-1.02,320.09,309.37,327.28,-23.82,-30.35,-13.14,5.12,4.22,7.32,435.9,426.3,450.3,85878,53741,189791
7,2023-05-04,06:00:00,1,3.92,3.66,4.44,3.35,2.77,3.98,-1.86,-3.17,0.09,-0.61,-1.18,0.3,331.45,1.25,353.18,-8.94,-16.25,4.69,5.75,4.43,6.19,416.6,404.2,427.4,58120,45030,73831
8,2023-05-04,12:00:00,1,3.95,2.9,4.96,3.85,2.62,4.79,0.53,-1.29,2.5,-0.61,-1.58,1.42,7.98,0.81,359.03,-8.19,-24.93,16.86,5.13,1.81,6.33,418.1,402.4,445.0,100881,45356,262926
9,2023-05-04,18:00:00,1,3.54,2.58,4.52,2.58,-1.11,3.95,-1.38,-4.09,1.61,-1.34,-3.11,0.74,328.66,0.92,358.77,-22.63,-50.7,13.53,6.09,4.74,7.5,405.3,391.1,415.4,52464,19007,73843
10,2023-05-05,00:00:00,1,4.43,2.68,5.1,4.16,1.93,4.89,0.31,-2.21,1.81,-1.29,-3.07,0.32,2.31,0.67,359.16,-16.73,-46.43,3.62,4.01,0.51,7.76,423.9,390.1,466.2,116942,26268,323179
11,2023-05-05,06:00:00,1,4.04,3.81,4.65,2.98,0.35,3.83,-2.58,-4.3,-0.56,-0.32,-1.72,1.04,317.83,273.99,350.18,-4.53,-22.31,13.03,0.88,0.49,3.88,431.2,379.3,448.6,14199,5689,300781
12,2023-05-05,12:00:00,1,4.68,2.74,4.87,1.5,-0.54,2.99,-4.24,-4.68,-2.35,-0.7,-2.01,1.24,288.82,262.02,309.67,-8.73,-29.51,15.26,0.81,0.28,4.11,424.9,338.1,498.9,40236,5000,325644
13,2023-05-05,18:00:00,1,3.42,2.88,4.39,-0.56,-3.41,1.51,-1.53,-2.99,0.03,-2.69,-3.29,-0.54,247.14,177.72,319.48,-51.59,-71.7,-9.8,4.13,2.08,5.94,335.7,321.8,344.4,10679,6156,12405
